,City Name,Latitude,Longitude,Temperature (Farenheit),Humidity %,Cloudiness %,Wind Speed (MPH),Country,Date
0,Rikitea,-23.12,-134.97,74.01,76,33,14.41,PF,1604960016
1,Mar del Plata,-38.0,-57.56,65.23,77,75,5.82,AR,1604960035
2,Ribeira Grande,38.52,-28.7,68.0,82,75,20.8,PT,1604960082
3,George Town,5.41,100.34,77.0,94,20,3.36,MY,1604960053
4,Bengkulu,-3.8,102.27,75.31,82,89,3.74,ID,1604960096
5,Guerrero Negro,27.98,-114.06,67.55,49,48,17.16,MX,1604960048
6,Chokurdakh,70.63,147.92,-17.93,90,50,3.04,RU,1604960028
7,Głuchołazy,50.31,17.38,35.02,97,0,1.01,PL,1604960550
8,Puerto Ayora,-0.74,-90.35,73.18,69,20,19.46,EC,1604960047
9,Bogoslovka,53.21,44.8,33.01,56,0,13.91,RU,1604960550
10,Buraidah,26.33,43.98,66.2,82,75,17.22,SA,1604960139
11,Vaini,-21.2,-175.2,80.6,78,20,10.29,TO,1604960019
12,Buala,-8.14,159.59,85.21,69,11,6.42,SB,1604960024
13,Kumul,42.8,93.45,39.2,59,70,11.03,CN,1604960023
14,Nishihara,26.18,127.76,68.0,64,75,13.87,JP,1604960551
15,Butaritari,3.07,172.79,82.99,71,100,10.6,KI,1604960039
16,Atuona,-9.8,-139.03,78.42,68,30,10.98,PF,1604960031
17,Saskylakh,71.92,114.08,10.29,94,100,26.69,RU,1604960067
18,Hermanus,-34.42,19.23,53.01,83,78,8.77,ZA,1604960022
19,Yellowknife,62.46,-114.35,26.71,74,75,4.7,CA,1604959726
20,Busselton,-33.65,115.33,47.34,98,54,17.92,AU,1604960023
21,Kapaa,22.08,-159.32,80.44,78,1,16.11,US,1604959914
22,Saint-Pierre,-21.34,55.48,66.78,68,0,6.93,RE,1604960552
23,Bonavista,48.65,-53.11,36.99,79,97,6.93,CA,1604960553
24,Lagoa,39.05,-27.98,65.46,83,100,15.3,PT,1604960083
